label,source,age,n_interests,n_projects,interests,subject_1_name,subject_1_score,subject_2_name,subject_2_score,subject_3_name,subject_3_score,subject_4_name,subject_4_score,subject_5_name,subject_5_score,project_title,project_skills,archetype,base_ability
CCS,synthetic,18,3,3,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Full Stack Development,84.4,Operating Systems,72.4,Automata Theory,67.6,Python,66.8,C++,60.1,Task Management System,rest api|ci/cd|docker|fullstack|node|kubernetes|serverless|react,average,52.2
DWM,synthetic,21,3,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Database Management Systems,100.0,Python,88.2,Artificial Intelligence,81.2,Engineering Mathematics-IV,78.5,Software Engineering,76.7,Data Pipeline System,sql|postgresql|mysql,strong,68.9
WT,synthetic,22,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Digital Logic & Design,65.8,Computer Networks,64.9,Operating Systems,63.1,Java,56.9,IoT,54.0,Smart Agriculture,embedded|zigbee|raspberry pi|pandas|iot|freertos|arduino|bluetooth,below_avg,40.8
WT,synthetic,18,2,1,Mobile & IoT Development|Network & Wireless Systems,IoT,96.9,Microcontroller & Embedded Systems,91.2,Computer Networks,82.3,C++,81.6,Software Engineering,78.9,Remote Water Quality Monitor,rfid|embedded|sensor|mqtt|zigbee|microcontroller|wireless,strong,74.5
CCS,synthetic,19,2,1,Cloud & Distributed Systems|Web Development,Computer Networks,75.2,Automata Theory,67.8,Java,63.7,Design & Analysis of Algorithms,62.8,Full Stack Development,62.4,Portfolio Website Builder,devops|fullstack|serverless|jenkins|terraform|hadoop|microservices|azure,average,47.4
WT,synthetic,21,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Microcontroller & Embedded Systems,68.2,Computer Networks,67.2,Cryptography & Network Security,65.6,Operating Systems,59.2,Software Engineering,56.4,Smart Parking System,embedded|zigbee|raspberry pi|iot|sensor|freertos|lora|mqtt,average,47.8
WT,synthetic,20,3,4,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,97.3,IoT,91.6,C++,90.8,Cryptography & Network Security,88.0,Microcontroller & Embedded Systems,84.8,RFID Attendance System,embedded|sklearn|raspberry pi|zigbee|iot|sensor|freertos|lora,topper,81.2
WT,synthetic,18,2,1,Mobile & IoT Development|Network & Wireless Systems,Computer Networks,76.5,IoT,69.8,Microcontroller & Embedded Systems,60.7,Cryptography & Network Security,57.9,Operating Systems,55.6,Smart Streetlight System,rfid|arduino|mqtt|i2c|wireless,hard_sample,45.9
CCS,synthetic,21,3,2,Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Full Stack Development,85.3,Python,79.5,Computer Networks,79.1,Design & Analysis of Algorithms,70.5,Java,68.1,Full Stack E-Commerce Site,computer vision|fullstack|react|jenkins|microservices|nginx|azure,hard_sample,62.6
WT,synthetic,19,2,1,Mobile & IoT Development|Artificial Intelligence & Machine Learning,IoT,72.9,Computer Networks,60.1,Design & Analysis of Algorithms,57.4,Microcontroller & Embedded Systems,57.1,Operating Systems,54.0,Health Monitoring Wearable,rfid|sensor|freertos|arduino|mqtt|gpio|wireless,hard_sample,41.9
ML,synthetic,22,3,1,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Automata Theory,60.3,Artificial Intelligence,58.2,Engineering Mathematics-IV,53.2,Data Structures and Algorithms,51.3,Java,49.7,NLP Pipeline,tensorflow|pytorch|opencv|classification|keras,average,45.2
WT,synthetic,18,2,4,Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,100.0,IoT,100.0,Digital Logic & Design,98.5,Python,97.6,C++,97.4,Remote Water Quality Monitor,embedded|raspberry pi|iot|sensor|freertos|arduino|mqtt|lora,topper,85.2
WT,synthetic,18,2,1,Mobile & IoT Development|Network & Wireless Systems,IoT,45.2,Microcontroller & Embedded Systems,32.8,Engineering Mathematics-IV,32.1,Digital Logic & Design,28.6,Operating Systems,28.6,Remote Water Quality Monitor,rfid|iot|sensor|freertos|lora|mqtt|bluetooth,struggling,20.7
WT,synthetic,18,2,3,Mobile & IoT Development|Network & Wireless Systems,Computer Networks,88.0,Microcontroller & Embedded Systems,82.8,Digital Logic & Design,66.4,Automata Theory,65.0,IoT,64.8,Smart Parking System,rfid|embedded|zigbee|raspberry pi|iot|sensor|freertos|arduino,average,53.6
DWM,synthetic,21,2,4,Artificial Intelligence & Machine Learning|Data Science & Analytics,Python,43.8,Database Management Systems,40.1,Data Structures and Algorithms,38.6,Engineering Mathematics-III,31.2,Cryptography & Network Security,28.8,Log Analysis System,tableau|mongodb|power bi|data warehouse|mysql|sql|data visualization|hadoop,struggling,24.3
ML,synthetic,21,2,4,Data Science & Analytics|Artificial Intelligence & Machine Learning,Python,43.7,Artificial Intelligence,36.7,Data Structures and Algorithms,34.4,Engineering Mathematics-IV,30.3,Design & Analysis of Algorithms,28.1,Image Classifier,sklearn|data science|tensorflow|neural network|nlp|deep learning|pytorch|opencv,failing,17.4
WT,synthetic,18,3,1,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,Digital Logic & Design,100.0,Microcontroller & Embedded Systems,100.0,C++,100.0,Computer Networks,99.7,IoT,99.4,GPS Tracker,embedded|serverless|zigbee|microcontroller|esp32,topper,90.6
DWM,synthetic,22,3,1,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Database Management Systems,94.2,Digital Logic & Design,91.4,Python,86.1,Automata Theory,84.8,Data Structures and Algorithms,83.3,Healthcare Data Warehouse,postgresql|data visualization|analytics|data mining|pandas,topper,78.5
CCS,synthetic,22,3,1,Cloud & Distributed Systems|Network & Wireless Systems|Artificial Intelligence & Machine Learning,Full Stack Development,60.6,Software Engineering,57.4,Computer Networks,55.7,Engineering Mathematics-IV,50.0,Design & Analysis of Algorithms,46.4,Cloud Deployment Platform,devops|rest api|docker|terraform,hard_sample,40.7
CCS,synthetic,19,3,2,Data Science & Analytics|Cloud & Distributed Systems|Web Development,Full Stack Development,61.7,Computer Networks,57.1,C++,55.0,Software Engineering,54.8,Operating Systems,52.5,REST API Service,devops|ci/cd|postgresql|tableau|power bi|mysql|cloud|hadoop,hard_sample,43.5
DWM,synthetic,18,1,3,Data Science & Analytics,Python,86.0,Java,85.6,C++,85.2,Data Structures and Algorithms,83.8,Database Management Systems,81.4,Survey Data Analyzer,postgresql|tableau|data warehouse|power bi|analytics|spark|microservices|pandas,strong,69.1
CCS,synthetic,21,2,1,Web Development|Data Science & Analytics,C++,42.3,Data Structures and Algorithms,38.4,Software Engineering,32.8,Microcontroller & Embedded Systems,31.2,Engineering Mathematics-IV,30.0,REST API Service,ci/cd|rest api|terraform|freertos,failing,19.4
ML,synthetic,19,2,1,Artificial Intelligence & Machine Learning|Data Science & Analytics,Python,50.7,Engineering Mathematics-IV,49.9,Digital Logic & Design,42.9,Engineering Mathematics-III,42.5,C++,41.8,Image Classifier,pytorch|classification|pandas|tensorflow,below_avg,30.3
ML,synthetic,19,3,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Engineering Mathematics-III,67.5,Python,64.9,Database Management Systems,64.8,Automata Theory,57.8,Artificial Intelligence,56.4,Language Translator,data science|classification|python|computer vision|pandas,average,47.4
ML,synthetic,18,3,3,Data Science & Analytics|Artificial Intelligence & Machine Learning|Mobile & IoT Development,Engineering Mathematics-IV,96.1,Database Management Systems,89.3,Data Structures and Algorithms,83.9,Artificial Intelligence,81.1,Cryptography & Network Security,80.7,Face Recognition System,sklearn|tensorflow|microservices|regression|kubernetes|deep learning|classification|pytorch,strong,73.6
DWM,synthetic,19,1,3,Data Science & Analytics,Database Management Systems,64.4,Python,62.1,Java,49.7,Data Structures and Algorithms,48.7,Engineering Mathematics-III,47.2,Census Data Visualizer,tableau|mongodb|power bi|data warehouse|mysql|data visualization|analytics|spark,average,43.6
WT,synthetic,22,2,3,Network & Wireless Systems|Mobile & IoT Development,IoT,84.2,Computer Networks,68.2,Java,67.4,Software Engineering,62.2,Microcontroller & Embedded Systems,60.9,BLE Beacon Tracker,rfid|embedded|zigbee|raspberry pi|iot|sensor|freertos|lora,average,54.2
DWM,synthetic,22,2,1,Artificial Intelligence & Machine Learning|Data Science & Analytics,Python,78.0,Digital Logic & Design,62.6,Microcontroller & Embedded Systems,61.5,Design & Analysis of Algorithms,57.3,Engineering Mathematics-IV,54.9,Log Analysis System,spark|data warehouse|mongodb|sql|hadoop|data mining|analytics|etl,hard_sample,49.6
WT,synthetic,20,1,2,Mobile & IoT Development,Python,79.8,Operating Systems,76.6,Cryptography & Network Security,75.6,IoT,72.7,Microcontroller & Embedded Systems,71.7,LoRa Communication System,zigbee|raspberry pi|iot|sensor|freertos|lora|matplotlib|bluetooth,hard_sample,57.8
ML,synthetic,22,1,4,Artificial Intelligence & Machine Learning,Engineering Mathematics-III,100.0,Data Structures and Algorithms,100.0,Software Engineering,100.0,Automata Theory,100.0,Design & Analysis of Algorithms,100.0,Customer Churn Predictor,computer vision|data science|sklearn|nlp|neural network|iot|regression|pytorch,topper,96.3
CCS,synthetic,19,1,1,Web Development,Full Stack Development,69.3,Java,64.3,Data Structures and Algorithms,58.0,Design & Analysis of Algorithms,57.5,Computer Networks,55.8,Full Stack E-Commerce Site,docker|fullstack|node|kubernetes|jenkins|azure|cloud,average,50.2
DWM,synthetic,19,3,3,Artificial Intelligence & Machine Learning|Data Science & Analytics|Network & Wireless Systems,Python,100.0,Engineering Mathematics-IV,89.3,Database Management Systems,83.3,Software Engineering,82.3,Design & Analysis of Algorithms,79.3,Business Intelligence Portal,analytics|numpy|postgresql|sklearn|mongodb|power bi|kubernetes|hadoop,hard_sample,69.4
WT,synthetic,20,3,3,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,IoT,80.5,Microcontroller & Embedded Systems,79.1,Data Structures and Algorithms,75.0,Design & Analysis of Algorithms,69.0,Operating Systems,64.6,Remote Water Quality Monitor,rfid|embedded|zigbee|iot|sensor|arduino|mqtt|lora,above_avg,56.7
WT,synthetic,22,4,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems|Data Science & Analytics,Computer Networks,69.2,Digital Logic & Design,60.2,IoT,59.7,Microcontroller & Embedded Systems,58.9,Software Engineering,56.9,Remote Water Quality Monitor,rfid|embedded|zigbee|raspberry pi|sensor|lora|arduino|bluetooth,average,48.0
CCS,synthetic,22,3,4,Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Full Stack Development,72.7,Operating Systems,65.2,Python,65.1,Software Engineering,61.4,Data Structures and Algorithms,59.7,Full Stack E-Commerce Site,devops|rest api|docker|ci/cd|node|react|serverless|lora,average,52.6
CCS,synthetic,22,1,1,Web Development,Database Management Systems,100.0,Computer Networks,100.0,Automata Theory,100.0,Full Stack Development,100.0,Design & Analysis of Algorithms,98.7,Full Stack E-Commerce Site,devops|docker|react|serverless|jenkins|nginx|aws,topper,89.8
CCS,synthetic,22,1,1,Cloud & Distributed Systems,Full Stack Development,76.3,Computer Networks,60.6,Operating Systems,55.5,Engineering Mathematics-III,50.1,Artificial Intelligence,48.8,Blog Platform with CMS,react|ci/cd|kubernetes|cloud,average,43.2
ML,synthetic,22,2,3,Artificial Intelligence & Machine Learning|Web Development,Python,100.0,Artificial Intelligence,100.0,Engineering Mathematics-IV,88.2,Database Management Systems,88.2,Data Structures and Algorithms,86.0,Music Genre Classifier,embedded|keras|data science|numpy|regression|pytorch|opencv|jupyter,strong,78.7
CCS,synthetic,20,3,1,Cloud & Distributed Systems|Web Development|Data Science & Analytics,Python,85.4,Automata Theory,81.8,Computer Networks,78.4,Software Engineering,78.3,Full Stack Development,77.6,CI/CD Pipeline Builder,docker|fullstack|react|microservices|aws,strong,66.4
WT,synthetic,19,3,1,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,Computer Networks,74.8,C++,73.6,Digital Logic & Design,70.6,Engineering Mathematics-IV,64.8,Operating Systems,64.8,BLE Beacon Tracker,iot|freertos|lora|bluetooth|zigbee,above_avg,55.4
ML,synthetic,18,2,3,Data Science & Analytics|Cloud & Distributed Systems,Python,62.1,Engineering Mathematics-IV,55.6,Artificial Intelligence,53.4,IoT,46.3,Engineering Mathematics-III,41.8,Price Predictor,keras|data science|tensorflow|nlp|neural network|sklearn|classification|jupyter,below_avg,40.3
CCS,synthetic,19,3,2,Cloud & Distributed Systems|Web Development|Data Science & Analytics,Full Stack Development,78.2,Digital Logic & Design,61.2,Engineering Mathematics-III,60.8,Cryptography & Network Security,60.6,Computer Networks,60.3,Cloud File Storage,ci/cd|docker|fullstack|serverless|cloud|jenkins|hadoop|microservices,average,55.4
ML,synthetic,21,2,2,Artificial Intelligence & Machine Learning|Data Science & Analytics,Design & Analysis of Algorithms,80.4,Engineering Mathematics-IV,64.5,Engineering Mathematics-III,59.0,Data Structures and Algorithms,58.3,Artificial Intelligence,54.7,Music Genre Classifier,keras|data science|tensorflow|nlp|sklearn|pytorch|machine learning|opencv,inconsistent,37.8
WT,synthetic,18,2,4,Mobile & IoT Development|Cloud & Distributed Systems,Engineering Mathematics-IV,100.0,Digital Logic & Design,100.0,Computer Networks,100.0,IoT,100.0,Microcontroller & Embedded Systems,99.5,Industrial IoT Gateway,rfid|embedded|raspberry pi|sensor|freertos|classification|mqtt|lora,topper,92.7
WT,synthetic,21,2,3,Mobile & IoT Development|Network & Wireless Systems,Computer Networks,72.5,Microcontroller & Embedded Systems,71.9,Data Structures and Algorithms,64.9,C++,61.8,Full Stack Development,61.0,Smart Streetlight System,rfid|embedded|zigbee|raspberry pi|iot|freertos|lora|arduino,average,52.4
ML,synthetic,19,2,2,Data Science & Analytics|Web Development,Cryptography & Network Security,54.8,Data Structures and Algorithms,54.5,Artificial Intelligence,49.8,Engineering Mathematics-IV,47.5,Python,46.5,Price Predictor,sklearn|data science|nlp|neural network|opencv|numpy|deep learning|matplotlib,below_avg,36.8
CCS,synthetic,18,2,1,Web Development|Cloud & Distributed Systems,Full Stack Development,97.0,Computer Networks,95.1,Software Engineering,93.4,Automata Theory,89.0,Data Structures and Algorithms,86.1,Kubernetes Cluster Monitor,devops|node|serverless|fullstack,strong,74.6
ML,synthetic,19,3,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems,Data Structures and Algorithms,79.4,Engineering Mathematics-III,78.8,Design & Analysis of Algorithms,74.7,Artificial Intelligence,74.2,Python,72.1,Music Genre Classifier,keras|regression|opencv|python|terraform|computer vision|deep learning,average,54.1
CCS,synthetic,22,2,1,Cloud & Distributed Systems|Web Development,Java,92.0,Full Stack Development,86.0,Python,77.1,Digital Logic & Design,74.5,Computer Networks,72.7,Cloud File Storage,devops|fullstack|node|microservices|nginx|aws,hard_sample,63.7
DWM,synthetic,18,3,3,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Engineering Mathematics-IV,84.3,Data Structures and Algorithms,83.2,Java,83.0,Database Management Systems,81.3,Cryptography & Network Security,77.6,ETL Automation Tool,postgresql|mongodb|data warehouse|sql|mysql|data visualization|hadoop|analytics,strong,73.3
CCS,synthetic,21,1,2,Cloud & Distributed Systems,Operating Systems,80.6,Python,75.3,Software Engineering,70.6,Full Stack Development,66.2,Engineering Mathematics-IV,65.7,Kubernetes Cluster Monitor,devops|docker|raspberry pi|fullstack|nginx|node|kubernetes|serverless,above_avg,60.0
CCS,synthetic,18,2,3,Cloud & Distributed Systems|Web Development,Design & Analysis of Algorithms,30.2,Java,29.0,Engineering Mathematics-IV,26.2,Cryptography & Network Security,22.9,Microcontroller & Embedded Systems,19.7,Containerized Microservices App,nginx|fullstack|node|react|kubernetes|serverless|jenkins|jupyter,failing,15.6
DWM,synthetic,19,1,3,Data Science & Analytics,Artificial Intelligence,61.3,Cryptography & Network Security,60.4,Automata Theory,60.2,Database Management Systems,58.8,C++,53.0,Healthcare Data Warehouse,keras|postgresql|tableau|mongodb|data warehouse|power bi|mysql|sql,improving,46.4
CCS,synthetic,18,3,2,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Operating Systems,61.7,Full Stack Development,56.4,Engineering Mathematics-IV,55.8,Software Engineering,48.5,Microcontroller & Embedded Systems,47.7,Cloud Deployment Platform,devops|nginx|kubernetes|jenkins|terraform|bluetooth|rest api|azure,below_avg,35.3
CCS,synthetic,21,2,1,Cloud & Distributed Systems|Data Science & Analytics,Automata Theory,91.3,Cryptography & Network Security,78.8,Design & Analysis of Algorithms,64.7,Full Stack Development,61.6,Data Structures and Algorithms,61.0,Blog Platform with CMS,rest api|ci/cd|postgresql|kubernetes|microservices|nginx|cloud,hard_sample,51.1
DWM,synthetic,21,3,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Database Management Systems,85.9,Artificial Intelligence,63.7,Data Structures and Algorithms,62.4,Digital Logic & Design,59.0,Python,57.0,ETL Automation Tool,tableau|data warehouse|data mining|spark|machine learning,improving,50.5
ML,synthetic,18,2,1,Artificial Intelligence & Machine Learning|Data Science & Analytics,Artificial Intelligence,95.9,Engineering Mathematics-III,76.8,Python,75.0,Data Structures and Algorithms,70.2,Cryptography & Network Security,70.1,Sentiment Analysis Tool,data science|tensorflow|neural network|classification|python|numpy|machine learning|pandas,above_avg,62.0
CCS,synthetic,18,2,2,Cloud & Distributed Systems|Web Development,Full Stack Development,76.6,Database Management Systems,76.5,Operating Systems,76.5,Microcontroller & Embedded Systems,67.0,Design & Analysis of Algorithms,64.8,Portfolio Website Builder,devops|fullstack|data warehouse|azure|data visualization|analytics|etl|pandas,hard_sample,51.2
DWM,synthetic,18,2,1,Artificial Intelligence & Machine Learning|Web Development,Engineering Mathematics-III,100.0,Data Structures and Algorithms,100.0,Database Management Systems,100.0,Python,100.0,Automata Theory,100.0,Crime Data Analysis,docker|postgresql|data warehouse|power bi|mysql|data visualization|spark|pandas,topper,93.2
DWM,synthetic,18,3,4,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Database Management Systems,100.0,Cryptography & Network Security,93.0,Python,91.4,Engineering Mathematics-III,90.6,Engineering Mathematics-IV,89.4,Business Intelligence Portal,postgresql|tableau|mongodb|power bi|data warehouse|sql|mysql|data visualization,topper,79.2
DWM,synthetic,21,2,4,Data Science & Analytics|Artificial Intelligence & Machine Learning,Java,67.5,Database Management Systems,64.4,Data Structures and Algorithms,60.7,Engineering Mathematics-III,59.8,Computer Networks,54.9,Data Pipeline System,postgresql|tableau|data warehouse|power bi|mysql|sql|data visualization|hadoop,average,48.1
CCS,synthetic,18,3,4,Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Database Management Systems,75.8,Full Stack Development,71.6,Operating Systems,70.9,Software Engineering,66.1,Engineering Mathematics-IV,63.9,REST API Service,ci/cd|docker|fullstack|node|react|serverless|kubernetes|cloud,above_avg,59.1
WT,synthetic,18,3,2,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,Digital Logic & Design,79.5,IoT,79.1,Computer Networks,74.8,Operating Systems,71.5,Data Structures and Algorithms,71.1,Smart Agriculture,rfid|embedded|iot|bluetooth|microcontroller|wireless,above_avg,62.1
DWM,synthetic,20,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Artificial Intelligence,84.9,Python,83.4,Computer Networks,81.8,Java,79.3,Database Management Systems,79.1,Survey Data Analyzer,microservices|mongodb|hadoop|power bi,strong,72.8
CCS,synthetic,22,2,2,Web Development|Cloud & Distributed Systems,Full Stack Development,100.0,Operating Systems,96.2,Automata Theory,93.6,Computer Networks,93.3,Software Engineering,93.1,Blog Platform with CMS,devops|rest api|docker|node|kubernetes|regression|microservices|nginx,topper,81.0
WT,synthetic,21,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Operating Systems,100.0,Computer Networks,100.0,Microcontroller & Embedded Systems,100.0,C++,100.0,IoT,100.0,Weather Station,rfid|zigbee|iot|serverless|sensor|freertos|lora|mqtt,topper,94.0
ML,synthetic,22,2,2,Artificial Intelligence & Machine Learning|Data Science & Analytics,Engineering Mathematics-IV,93.0,Python,76.8,Java,74.7,Data Structures and Algorithms,74.4,Design & Analysis of Algorithms,71.1,Price Predictor,docker|postgresql|tableau|regression|data warehouse|mongodb|deep learning|data visualization,hard_sample,64.7
ML,synthetic,21,1,2,Artificial Intelligence & Machine Learning,Data Structures and Algorithms,74.1,Artificial Intelligence,74.0,Python,65.4,Digital Logic & Design,64.1,Software Engineering,58.6,Object Detection App,sklearn|tensorflow|nlp|data science|neural network|pytorch|opencv|classification,average,48.0
WT,synthetic,18,3,2,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Engineering Mathematics-IV,100.0,Digital Logic & Design,100.0,Computer Networks,100.0,Microcontroller & Embedded Systems,100.0,Software Engineering,100.0,Smart Agriculture,rfid|sklearn|raspberry pi|sensor|freertos|mqtt|wireless|i2c,topper,96.7
ML,synthetic,20,1,1,Artificial Intelligence & Machine Learning,Artificial Intelligence,90.4,Database Management Systems,82.4,Engineering Mathematics-IV,77.8,Engineering Mathematics-III,77.3,Microcontroller & Embedded Systems,75.9,Object Detection App,rest api|keras|tensorflow|regression|python|computer vision|deep learning,hard_sample,66.0
